"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","1999","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",241,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","2000","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",283,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","2001","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",320,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","2002","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",296,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","2003","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",286,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","2004","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",277,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","2005","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",282,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","2006","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",240,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","2007","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",270,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","2008","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",256,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","2009","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",275,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","2010","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",260,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/17019","","Champaign County","Count_Death_Neoplasms","2011","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",276,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
