"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/18001","","Adams County","Count_Death_Neoplasms","1999","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",32,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2000","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",71,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2001","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",62,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2002","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",66,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2003","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",64,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2004","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",68,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2005","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",62,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2006","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",60,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2007","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",63,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2008","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",62,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2009","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",63,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2010","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",66,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2011","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",67,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2012","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",62,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2013","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",58,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2014","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",76,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2015","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",79,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2016","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",76,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2017","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",59,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2018","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",61,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2019","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",76,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18001","","Adams County","Count_Death_Neoplasms","2020","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",80,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18039","","Elkhart County","Count_Death_Neoplasms","1999","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",307,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
"geoId/18039","","Elkhart County","Count_Death_Neoplasms","2000","CDC_Mortality_UnderlyingCause","https://wonder.cdc.gov/ucd-icd10.html","","","",324,"Deaths From Neoplasms (Tumors or Abnormal Growths)"
