AREA_ACRES,AREA_SQKM,STATES,HUC_10,HU_10_NAME,HU_10_MOD,HU_10_TYPE,VERTICES,Shape_Length,Shape_Area
124155.203,502.4669722,"CO,KS,NE",1025000108,Dry Willow Creek-Arikaree River,NM,S,96,1.278117426,0.052964124
126999.63,515.1020318,CO,1025000205,Hell Creek,NM,S,136,1.861777893,0.054331183
100262.919,405.6694085,NM,1104000104,Long Canyon-Dry Cimarron River,NM,S,73,1.227514072,0.041008883
66804.27,269.6113193,"CO,OK",1104000203,Ute Canyon Creek,NM,S,71,1.128847986,0.027321135
146694.416,593.2782739,CO,1025000208,Headwaters North Fork Republican River,NM,S,167,1.816123467,0.062575573
135650.169,548.2200521,CO,1025000303,South Fork Republican River,NM,S,101,1.45146661,0.057194869
142070.248,576.4986091,"CO,KS",1104000301,City of Campo-North Fork Cimarron River,NM,S,95,1.812858094,0.0585077
187292.322,758.5632722,"CO,NE",1025000501,Sand Creek,NM,S,199,3.104589048,0.080773759
207038.84,838.3190684,"CO,NE",1025000601,City of Venango,NM,S,183,2.676413659,0.089351141
238481.61,968.1722479,"CO,NE",1025000606,Headwaters Stinking Water Creek,NM,S,168,2.38579795,0.103351201
172244.617,696.7255822,"CO,KS",1025001202,Middle/South Beaver Creek,NM,S,104,1.647051356,0.072815855
120188.635,486.140889,CO,1102000113,Outlet Grape Creek,NM,S,115,1.383886991,0.050054853
137069.218,553.3606926,CO,1102000205,Beaver Creek,NM,S,114,1.579866675,0.05724401
80409.763,326.1069622,CO,1102000207,Turkey Creek,NM,S,75,1.196483886,0.03367468
114492.835,463.0730291,CO,1102000212,Saint Charles River-Arkansas River,NM,S,66,1.114754163,0.04762693
145171.493,586.1524414,CO,1102000301,Monument Creek,NM,S,82,1.190033903,0.060957715
208552.034,844.6325956,CO,1102000303,Middle Fountain Creek,NM,S,95,1.48374931,0.087563051
126532.513,512.9432022,CO,1102000401,Brackett Creek-Black Squirrel Creek,NM,S,80,1.23706602,0.053307253
169239.171,682.9553172,CO,1102000402,Black Squirrel Creek,NM,S,105,1.762084599,0.070790873
96186.275,389.3343242,CO,1102000505,Dry Creek,NM,S,52,0.923161621,0.03984178
127735.2,517.4100569,CO,1102000509,Anderson Arroyo-Arkansas River,NM,S,94,1.317236566,0.05304227
171977.082,694.8856062,CO,1102000601,Headwaters Huerfano River,NM,S,87,1.437730003,0.071044973
60982.505,246.9040979,CO,1102000603,Dog Springs Arroyo-Huerfano River,NM,S,38,0.719665503,0.025225851
138346.698,560.9188293,CO,1102000605,Middle Cucharas River,NM,S,95,1.310692972,0.057187411
165963.193,671.2192705,CO,1102000703,Middle Apishapa River,NM,S,78,1.306653961,0.068631948
174559.007,705.0100932,CO,1019001201,Badger Creek,NM,S,119,1.820628597,0.074314986
229271.507,928.1877299,CO,1019001207,Prewitt Reservoir-South Platte River,"TF,GC",M,132,1.656555998,0.098464012
156610.715,635.5715749,CO,1102000910,Dry Creek-Arkansas River,NM,S,88,1.486890785,0.065267992
243690.092,988.8258213,CO,1102000911,1102000911,NM,S,96,1.649087745,0.102080778
113104.796,457.1502176,"CO,KS",1102000918,Wild Horse Creek,NM,S,60,1.142805065,0.047056795
111523.443,451.5500989,CO,1102001010,Van Bremer Arroyo,TF,S,77,1.273937334,0.045954547
239157.927,967.4640777,"CO,NE",1019001208,Cedar Creek,NM,S,130,1.834212119,0.103335418
161420.407,653.241343,CO,1019001402,South Pawnee Creek,NM,S,130,1.609047499,0.069592446
159040.05,643.9449185,CO,1102001101,Headwaters Big Sandy Creek,NM,S,141,1.722037206,0.067095949
84889.862,345.1355326,CO,1102001201,Long Branch,NM,S,82,1.316962387,0.035913705
150746.88,611.4051359,CO,1102001301,Upper Two Butte Creek,NM,S,77,1.237188722,0.062215621
101978.113,412.267348,CO,1018000102,North Fork North Platte River,NM,S,73,1.022276606,0.04400731
155700.325,628.8963033,CO,1019000203,Outlet North Fork South Platte River,NM,S,100,1.463560229,0.065800811
185764.349,751.4610827,CO,1019000204,Lost Creek-South Platte River,NM,S,135,1.819250088,0.07840541
122309.852,496.7164881,CO,1019000206,West Plum Creek,NM,S,91,1.19066157,0.051892994
162346.423,658.0362715,CO,1019000803,Owl Creek-Lone Tree Creek,NM,S,111,1.687349401,0.070159618
118786.474,480.8130832,CO,1019001004,Lower Kiowa Creek,NM,S,105,1.430721379,0.050768411
117506.517,476.3872244,"CO,WY",1018001003,Shell Creek,IT,S,84,1.273861071,0.051003507
154653.39,625.8406051,CO,1019000307,Headwaters Box Elder Creek,NM,S,153,2.190284068,0.065568993
158315.765,640.913039,CO,1019000308,Outlet Box Elder Creek,NM,S,126,1.908865475,0.067727907
57207.578,230.8631431,CO,1019000501,South Saint Vrain Creek,NM,S,75,1.116294066,0.024396858
222030.835,898.9847791,CO,1405000101,Headwaters Yampa River,NM,S,130,1.900499421,0.095046671
148501.753,601.2782739,CO,1405000103,Outlet Elk River,NM,S,102,1.371987576,0.063990191
142636.761,575.6504968,CO,1405000106,Elkhead Creek,NM,S,99,1.368479539,0.061301279
120334.863,487.1313394,CO,1405000202,Morgan Gulch-Yampa River,NM,S,88,1.34261672,0.051669047
97179.385,394.4497007,CO,1405000303,Slater Creek,NM,S,82,1.188399395,0.042127378
236912.87,957.8275355,"CO,WY",1405000308,Little Snake River-Powder Wash,IT,S,150,2.115764599,0.102416543
115372.765,466.1236529,CO,1405000502,South Fork White River,NM,S,110,1.513434648,0.049072386
214220.442,867.9214248,CO,1401000103,Headwaters Colorado River,NM,S,138,1.885254248,0.091851687
188361.91,762.6700147,CO,1401000107,Muddy Creek,NM,S,133,1.71703357,0.080707355
75675.193,305.8314474,CO,1401000108,Piney River,NM,S,54,0.990168338,0.032148306
192171.77,776.5453244,"CO,NM",1408010106,Navajo River,NM,S,124,1.920287073,0.078667952
67169.996,272.0591968,CO,1401000113,Sweetwater Creek,NM,S,65,0.853609742,0.028614178
123804.439,500.0418284,CO,1401000306,Lower Eagle River,NM,S,109,1.49760855,0.052516628
37537.587,151.2806093,CO,1401000403,Maroon Creek,NM,S,45,0.641543797,0.015752996
81739.433,330.6667111,CO,1401000406,Woody Creek-Roaring Fork River,NM,S,89,1.250132353,0.034513393
68633.369,279.4703908,CO,1408010409,Middle Animas Valley,NM,S,52,0.830679839,0.028357574
56401.605,227.8827876,CO,1401000409,Cattle Creek,NM,S,72,0.997155992,0.023856805
81981.571,332.0306812,CO,1402000204,Beaver Creek-Blue Mesa Reservoir,NM,S,64,0.995495619,0.034310235
276849.506,1120.671302,CO,1402000206,Lake Fork,NM,S,137,2.026865247,0.115102018
128616.29,519.36987,CO,1402000212,Smith Fork-Gunnison River,NM,S,106,1.571337429,0.053768673
43512.444,175.576424,CO,1402000302,Razor Creek,NM,S,59,0.831678024,0.018093456
62709.555,254.3723325,CO,1402000401,West Muddy Creek,NM,S,70,1.034543059,0.026479944
75275.119,305.1713016,CO,1402000506,East Creek,NM,S,66,1.072236047,0.031665022
113386.108,459.8458515,"CO,UT",1403000208,Coyote Wash,NM,S,67,1.030423495,0.047312416
179509.254,727.2490571,CO,1403000307,Cottonwood Creek-San Miguel River,NM,S,131,2.149671437,0.074907623
76135.853,308.1910786,"CO,UT",1403000405,Beaver Creek-Lower Dolores River,"ID,IT,CD",S,60,1.01677709,0.031903161
254201.893,1027.94084,CO,1301000207,City of Alamosa-Rio Grande,NM,S,174,3.44925835,0.104739811
365787.584,1481.773136,CO,1301000306,Sand Creek-San Luis Creek,NM,S,95,2.237536396,0.151424218
88392.381,357.849247,CO,1301000401,Headwaters Saguache Creek,NM,S,54,0.939151164,0.036692913
213628.427,865.9932128,CO,1301000406,Russell Creek-La Garita Creek,NM,S,117,2.428366398,0.088731
145369.952,589.6585164,"CO,NM",1302010202,Chavez Creek-Rio Chama,GC,S,93,1.36719271,0.059652763
94378.326,381.9573081,CO,1301000102,Clear Creek,NM,S,56,0.991065382,0.039104949
63145.07,255.6251728,CO,1301000103,Spring Creek-Rio Grande,NM,S,55,0.808710398,0.026120411
60571.364,245.3769557,CO,1301000109,Goose Creek,NM,S,56,0.778583355,0.025056272
45887.974,184.9278724,CO,1301000112,Embargo Creek,NM,S,49,0.713384672,0.01891886
117144.002,475.2828376,CO,1301000113,Alder Creek-Rio Grande,NM,S,85,1.347651203,0.048557391
248209.527,1006.423693,CO,1301000204,La Jara Creek,NM,S,97,1.835093441,0.102178616
79246.679,320.7136834,CO,1301000402,Squaw Creek-Saguache Creek,NM,S,71,0.955010762,0.032926477
73151.618,296.5606814,CO,1301000405,La Garita Creek,NM,S,71,1.509856863,0.030358271
162343.112,657.9174098,"CO,OK",1104000204,Winchester Mesa-Cimarron River,NM,S,87,1.240042314,0.066544196
145699.493,589.8079063,"CO,KS",1104000504,North Bear Creek,NM,S,69,1.223898354,0.060331312
150989.947,608.5975781,"CO,WY",1018001002,Laramie River-Squirrel Creek,IT,S,89,1.557606883,0.065206665
125275.564,506.4773426,CO,1019000106,Elevenmile Canyon-South Platte River,NM,S,95,1.239115091,0.05264089
135590.74,549.4269365,CO,1019000201,Trout Creek-West Creek,NM,S,89,1.239687936,0.057201113
75930.965,308.3565263,CO,1019000207,Chatfield Reservoir-South Platte River,NM,S,77,0.9694078,0.03228416
107548.029,433.7323409,CO,1019000209,City of Lakewood-South Platte River,"RS,ID",S,81,1.316879592,0.045501156
95105.409,385.5098021,CO,1019000707,Rabbit Creek-North Fork Cache La Poudre River,NM,S,105,1.267524688,0.041160188
182849.319,738.8115914,"CO,WY",1019000709,Boxelder Creek,IT,S,106,1.550211876,0.078896015
184648.313,747.1673805,CO,1019001103,Middle Bijou Creek,NM,S,109,1.59968423,0.07828134
139183.795,562.4770842,CO,1019001210,Lewis Creek-South Platte River,NM,M,71,1.306147634,0.060008109
87161.282,353.0877528,CO,1025000102,Gordon Creek,NM,S,112,1.548507851,0.037050762
188840.662,763.757045,CO,1025000107,Spring Canyon-Arikaree River,NM,S,141,1.880602273,0.080284149
140064.043,567.711975,"CO,NM",1108000102,Chicorica Creek-Canadian River,NM,S,126,1.837570222,0.057395149
176276.84,714.9950514,"CO,NE",1019001212,Cottonwood Creek-South Platte River,NM,M,117,1.527530337,0.076433554
122392.932,496.1148461,CO,1019001301,Upper Beaver Creek,NM,S,77,1.077818032,0.05198103
183331.884,740.7565696,CO,1019001303,Middle Beaver Creek,NM,S,103,1.639996075,0.077812717
196182.042,793.3826995,CO,1025000207,Chief Creek,NM,S,163,1.962645816,0.083865529
80335.217,325.970508,CO,1025000302,Sand Creek,NM,S,105,1.222723655,0.033982398
75942.229,306.6247514,CO,1025000306,1025000306,NM,S,102,1.171814054,0.032070669
184990.211,746.1714045,"CO,NE",1019001607,Lodgepole Creek,TF,S,167,2.757410353,0.080029462
82492.438,334.6709429,"CO,NE,WY",1019001701,Two Mile Mountain,NM,S,94,1.149992256,0.035853045
189435.104,765.8322959,CO,1102000111,Tallahassee Creek-Currant Creek,NM,S,94,1.346966188,0.079252622
130107.313,527.230838,CO,1102000210,Greenhorn Creek,NM,S,71,1.335974611,0.054059327
307216.765,1243.773266,CO,1102000803,Breckenridge Creek,NM,S,122,2.0780855,0.128610446
111177.802,448.6923303,CO,1102000908,Caddoa Creek,NM,S,66,1.267469728,0.045920922
93759.996,378.4577295,CO,1102000912,Kiowa Creek,NM,S,73,1.255070966,0.039069762
75181.278,305.3255562,CO,1102001013,Perly Canyon-Purgatorie River,NM,S,63,0.856744152,0.03105405
126460.032,511.4923007,CO,1102001019,Outlet Purgatorie River,NM,S,76,1.148880603,0.052400627
114478.023,463.793002,CO,1102001105,Wild Horse Creek,NM,S,80,1.22425267,0.048181618
145232.191,589.1588801,CO,1102001203,North Rush Creek-Rush Creek,NM,S,117,1.765846121,0.061298839
178390.57,721.6899654,CO,1102001206,Lower Rush Creek,NM,S,124,1.706700483,0.074594196
137816.307,557.4779382,CO,1102001304,Lower Two Butte Creek,NM,S,113,1.906015137,0.056993578
248440.869,1005.614282,"CO,NM,OK",1104000202,Black Mesa State Park-Cimarron River,NM,S,113,1.69456475,0.101728479
152753.222,618.8091722,"CO,UT",1406000103,Garden Creek-Green River,OT,S,81,1.329160318,0.065724023
160173.274,646.6405802,CO,1401000106,Troublesome Creek-Colorado River,NM,S,108,1.486702552,0.068381061
78914.878,319.4317699,CO,1401000201,Upper Blue River,NM,S,65,0.942131859,0.033434998
67161.577,272.8108226,CO,1401000408,Middle Roaring Fork River,NM,S,68,0.941290648,0.028510151
40521.482,162.8391288,CO,1401000504,Mamm Creek,NM,S,42,0.661269389,0.017031879
250590.967,1016.283343,CO,1402000305,Cochetopa Creek,NM,S,132,1.926911882,0.104519093
