AREA_ACRES,AREA_SQKM,STATES,HUC_8,HU_8_NAME,VERTICES,Shape_Length,Shape_Area
1190404.179,4810.507369,CO,11020006,Huerfano,106,4.351272923,0.49167672
688984.1085,2775.754022,CO,11020007,Apishapa,80,3.374127937,0.283362285
911821.4745,3687.943223,CO,11020008,Horse,77,3.482091482,0.381269661
1183865.945,4796.157336,CO,10190002,Upper South Platte,100,3.68092866,0.501480972
626681.3286,2529.2575,CO,10190005,St. Vrain,61,2.543458766,0.267065421
458739.2084,1862.440686,CO,10190010,Kiowa,71,3.341874533,0.195440303
1475292.454,5979.141196,CO,11020002,Upper Arkansas,117,4.247549817,0.616290323
1958513.088,7941.037051,"CO,WY",14050003,Little Snake,168,6.52916941,0.849606043
873049.649,3531.691723,CO,14050005,Upper White,110,3.664110197,0.372668273
2082675.992,8439.090095,"CO,NM",13020101,Upper Rio Grande,141,5.703804415,0.848268918
1857232.513,7529.390251,CO,14010001,Colorado Headwaters,174,6.931560067,0.794148469
437129.1648,1759.224857,CO,14010002,Blue,71,2.551881703,0.184643048
1664155.736,6733.306455,CO,14050001,Upper Yampa,119,4.444408232,0.714820843
513690.4166,2089.759073,"CO,NM",14080107,Mancos,57,2.591954091,0.212041904
1026761.164,4160.677627,CO,10190001,South Platte Headwater,104,3.380861956,0.433241304
889610.048,3613.939552,"CO,WY",10190009,Crow,94,4.151044578,0.386269358
1182116.773,4794.589496,"CO,KS,NE",10250001,Arikaree,151,5.16100197,0.503346351
516019.7492,2088.470427,CO,11020013,Two Butte,80,3.531531125,0.213101284
1073757.345,4344.809503,"CO,NM,OK",11040001,Cimarron Headwaters,94,3.692894399,0.439642238
1218781.157,4927.835489,"CO,KS",11040005,Bear,91,4.374364305,0.502823167
480879.2441,1944.031937,"CO,KS",10250012,South Fork Beaver,86,3.805330473,0.203367065
1543157.588,6247.764146,CO,14020002,Upper Gunnison,124,4.591608996,0.644154348
620159.9931,2502.533007,CO,14020004,North Fork Gunnison,66,2.476850306,0.260009463
585237.6442,2372.440966,CO,14050006,Piceance-Yellow,65,2.348954272,0.249727029
2195853.838,8871.013501,"CO,NM",14080101,Upper San Juan,201,7.727646392,0.897991649
1275939.235,5149.662043,"AZ,CO,NM,UT",14080201,Lower San Juan-Four Corners,104,4.195665405,0.523400729
748157.2858,3038.570915,"CO,UT",14080203,Montezuma,81,2.86201809,0.31030268
1961565.041,7939.066191,CO,11020001,Arkansas Headwaters,177,6.141419144,0.821092918
1454392.015,5903.533849,"CO,WY",10180010,Upper Laramie,140,4.986375386,0.634524031
622377.0396,2520.807922,CO,14010003,Eagle,68,2.666415416,0.264250118
1909055.569,7736.552986,"CO,NE",10190012,Middle South Platte-Sterling,222,8.263501086,0.822476682
903762.4828,3661.56258,"CO,NE",10190018,Lower South Platte,148,5.470183215,0.392289993
1842187.441,7462.163582,CO,10190003,Middle South Platte-Cherry Creek,130,6.056118444,0.786503309
673805.1905,2732.135671,"CO,KS",10260001,Smoky Hill Headwaters,64,3.111426189,0.283942772
1055886.073,4272.829529,"CO,KS,NM,OK",11040002,Upper Cimarron,120,5.141533569,0.432805224
1471858.794,5957.887827,"CO,KS",11030001,Middle Arkansas-Lake McKinney,93,4.476136536,0.611783293
